codigo_proyecto,nombre_proyecto,codigo_subdivision,nombre_subdivision,nombre_tipologia,nombre,total_habitaciones,precio_lista,precio lista miles,precio_venta,estado_comercial,Estado comercial,PISO,P_m2 dolares con dscto y area libre,area_techada,area_libre,area_total
NP,Torre Nápoles,NP-B,Torre B,,A2114,,335003.18,S/ 335.00,0,no disponible,No Disponible,21,$1381,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A2113,,336933.71,S/ 336.93,0,no disponible,No Disponible,21,$1381,59.34,0,59.34
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A2101,2,340845.64,S/ 340.85,0,disponible,Disponible,21,$1454,57.04,0,57.04
NP,Torre Nápoles,NP-A,Torre A,AX02 - 55.48 - 2 dorm - Exterior,A2102,2,333429.31,S/ 333.43,0,disponible,Disponible,21,$1462,55.48,0,55.48
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A2103,1,249385.09,S/ 249.39,0,disponible,Disponible,21,$1512,40.12,0,40.12
NP,Torre Nápoles,NP-A,Torre A,AX04 - 66.68 - 3 dorm - Interna,A2104,3,381175.79,S/ 381.18,0,disponible,Disponible,21,$1416,65.49,0,65.49
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A2105,3,383071.92,S/ 383.07,0,disponible,Disponible,21,$1416,65.81,0,65.81
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A2106,3,395046.36,S/ 395.05,0,disponible,Disponible,21,$1400,68.65,0,68.65
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A2107,2,324154.71,S/ 324.15,0,disponible,Disponible,21,$1382,57.06,0,57.06
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A2108,1,237738.16,S/ 237.74,0,disponible,Disponible,21,$1442,40.09,0,40.09
NP,Torre Nápoles,NP-A,Torre A,AX09 - 38.06 - 1 dorm - Interna,A2109,1,237619.56,S/ 237.62,0,disponible,Disponible,21,$1442,40.07,0,40.07
NP,Torre Nápoles,NP-A,Torre A,AX10 - 36.98 - 1 dorm - Interna,A2110,1,239544.93,S/ 239.54,0,disponible,Disponible,21,$1451,40.16,0,40.16
MD,Modena,,,X01 - 40.02 - 1 dorm - Interior,2101,1,309908.79,S/ 309.91,265000,proceso de separación,Separado/Vendido,21,$1743,40.02,0,40.02
MD,Modena,,,X02 - 72.20 - 3 dorm - Exterior,2102,3,553624.39,S/ 553.62,0,disponible,Disponible,21,$1816,72.2,0,72.2
MD,Modena,,,X03 - 57.39 - 2 dorm - Exterior,2103,2,444341.24,S/ 444.34,0,disponible,Disponible,21,$1843,57.1,0,57.1
MD,Modena,,,X04 - 54.76 - 2 dorm - Exterior,2104,2,425431.44,S/ 425.43,0,disponible,Disponible,21,$1843,54.67,0,54.67
MD,Modena,,,X05 - 75.43 - 3 dorm - Exterior,2105,3,578391.79,S/ 578.39,0,disponible,Disponible,21,$1816,75.43,0,75.43
MD,Modena,,,X06 - 37.82 - 1 dorm - Interior,2106,1,310450.86,S/ 310.45,0,disponible,Disponible,21,$1834,40.09,0,40.09
MD,Modena,,,X07 - 48.11 - 2 dorm - Interior,2107,2,356160.82,S/ 356.16,311993,vendido,Separado/Vendido,21,$1715,47.87,0,47.87
MD,Modena,,,X08 - 72.92 - 3 dorm - Interior,2108,3,516169.78,S/ 516.17,0,disponible,Disponible,21,$1677,72.91,0,72.91
MD,Modena,,,X09 - 53.05 - 2 dorm - Interior,2109,2,394477.68,S/ 394.48,0,disponible,Disponible,21,$1762,53.02,0,53.02
NP,Torre Nápoles,NP-B,Torre B,,A2216,,176485.45,S/ 176.49,0,no disponible,No Disponible,22,$1423,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,A2215,,215971.81,S/ 215.97,0,no disponible,No Disponible,22,$1390,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,A2212,,294038.41,S/ 294.04,0,no disponible,No Disponible,22,$1365,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A2211,,310760.44,S/ 310.76,0,no disponible,No Disponible,22,$1365,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,A2214,,333038.48,S/ 333.04,0,no disponible,No Disponible,22,$1373,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A2213,,334957.68,S/ 334.96,0,no disponible,No Disponible,22,$1373,59.34,0,59.34
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A2201,2,338946.21,S/ 338.95,0,disponible,Disponible,22,$1445,57.04,0,57.04
NP,Torre Nápoles,NP-A,Torre A,AX02 - 55.48 - 2 dorm - Exterior,A2202,2,331581.83,S/ 331.58,0,disponible,Disponible,22,$1454,55.48,0,55.48
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A2203,1,248049.09,S/ 248.05,0,disponible,Disponible,22,$1504,40.12,0,40.12
NP,Torre Nápoles,NP-A,Torre A,AX04 - 66.68 - 3 dorm - Interna,A2204,3,378994.98,S/ 378.99,0,disponible,Disponible,22,$1408,65.49,0,65.49
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A2205,3,380880.44,S/ 380.88,342792.4,vendido,Separado/Vendido,22,$1408,65.81,0,65.81
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A2206,3,392760.31,S/ 392.76,0,disponible,Disponible,22,$1392,68.65,0,68.65
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A2207,2,322254.62,S/ 322.25,0,disponible,Disponible,22,$1374,57.06,0,57.06
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A2208,1,236403.17,S/ 236.40,0,disponible,Disponible,22,$1434,40.09,0,40.09
NP,Torre Nápoles,NP-A,Torre A,AX09 - 38.06 - 1 dorm - Interna,A2209,1,236285.23,S/ 236.29,0,disponible,Disponible,22,$1434,40.07,0,40.07
NP,Torre Nápoles,NP-A,Torre A,AX10 - 36.98 - 1 dorm - Interna,A2210,1,238207.6,S/ 238.21,0,disponible,Disponible,22,$1443,40.16,0,40.16
MD,Modena,,,X01 - 40.21 1 dorm - Interior,2201,1,309853.74,S/ 309.85,250000,vendido,Separado/Vendido,22,$1636,40.21,0,40.21
MD,Modena,,,X02 - 63.90 - 2 dorm - Exterior,2202,2,487554.94,S/ 487.55,434264,proceso de separación,Separado/Vendido,22,$1788,63.9,0,63.9
MD,Modena,,,X03 - 57.39 - 2 dorm - Exterior,2203,2,442173.7,S/ 442.17,0,disponible,Disponible,22,$1834,57.1,0,57.1
MD,Modena,,,X04 - 54.76 - 2 dorm - Exterior,2204,2,423356.16,S/ 423.36,0,disponible,Disponible,22,$1834,54.67,0,54.67
MD,Modena,,,X05 - 75.41 - 3 dorm - Exterior,2205,3,575375.86,S/ 575.38,0,disponible,Disponible,22,$1807,75.41,0,75.41
MD,Modena,,,X06 - 37.82 - 1 dorm - Interior,2206,1,308929.03,S/ 308.93,0,disponible,Disponible,22,$1825,40.09,0,40.09
MD,Modena,,,X07 - 45.68 - 2 dorm - Interior,2207,2,336430.33,S/ 336.43,313200,vendido,Separado/Vendido,22,$1813,45.45,0,45.45
MD,Modena,,,X08 - 64.28 - 3 dorm - Interior,2208,3,453900.71,S/ 453.90,419800,vendido,Separado/Vendido,22,$1714,64.46,0,64.46
MD,Modena,,,X09 - 53.05 - 2 dorm - Interior,2209,2,392465.04,S/ 392.47,341444.58,proceso de separación,Separado/Vendido,22,$1695,53.02,0,53.02
NP,Torre Nápoles,NP-B,Torre B,,A2316,,175480.79,S/ 175.48,0,no disponible,No Disponible,23,$1415,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,A2315,,214713.07,S/ 214.71,0,no disponible,No Disponible,23,$1382,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,A2312,,292293.49,S/ 292.29,0,no disponible,No Disponible,23,$1357,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A2311,,308916.29,S/ 308.92,0,no disponible,No Disponible,23,$1357,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,A2314,,331073.78,S/ 331.07,0,no disponible,No Disponible,23,$1365,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A2313,,332981.66,S/ 332.98,0,no disponible,No Disponible,23,$1365,59.34,0,59.34
MD,Modena,,,2307 - duplex 87.76- Interior,2307,3,705682.57,S/ 705.68,0,disponible,Disponible,23,$2063,74.64,13.12,87.76
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A2301,2,337046.78,S/ 337.05,0,disponible,Disponible,23,$1437,57.04,0,57.04
NP,Torre Nápoles,NP-A,Torre A,AX02 - 55.48 - 2 dorm - Exterior,A2302,2,329734.35,S/ 329.73,0,disponible,Disponible,23,$1446,55.48,0,55.48
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A2303,1,246713.1,S/ 246.71,0,disponible,Disponible,23,$1496,40.12,0,40.12
NP,Torre Nápoles,NP-A,Torre A,AX04 - 66.68 - 3 dorm - Interna,A2304,3,376814.16,S/ 376.81,0,disponible,Disponible,23,$1400,65.49,0,65.49
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A2305,3,378688.97,S/ 378.69,0,disponible,Disponible,23,$1400,65.81,0,65.81
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A2306,3,390474.27,S/ 390.47,0,disponible,Disponible,23,$1384,68.65,0,68.65
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A2307,2,320354.52,S/ 320.35,0,disponible,Disponible,23,$1366,57.06,0,57.06
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A2308,1,235068.17,S/ 235.07,0,disponible,Disponible,23,$1426,40.09,0,40.09
NP,Torre Nápoles,NP-A,Torre A,AX09 - 38.06 - 1 dorm - Interna,A2309,1,234950.9,S/ 234.95,0,disponible,Disponible,23,$1426,40.07,0,40.07
NP,Torre Nápoles,NP-A,Torre A,AX10 - 36.98 - 1 dorm - Interna,A2310,1,236870.27,S/ 236.87,0,disponible,Disponible,23,$1435,40.16,0,40.16
MD,Modena,,,X01 - 40.21 1 dorm - Interior,2301,1,308327.38,S/ 308.33,0,disponible,Disponible,23,$1816,40.21,0,40.21
MD,Modena,,,X02 - 63.90 - 2 dorm - Exterior,2302,2,485129.29,S/ 485.13,0,disponible,Disponible,23,$1798,63.9,0,63.9
MD,Modena,,,X03 - 57.39 - 2 dorm - Exterior,2303,2,440006.19,S/ 440.01,0,disponible,Disponible,23,$1825,57.1,0,57.1
MD,Modena,,,X04 - 54.76 - 2 dorm - Exterior,2304,2,421280.89,S/ 421.28,0,disponible,Disponible,23,$1825,54.67,0,54.67
MD,Modena,,,X05 - 75.41 - 3 dorm - Exterior,2305,3,572513.3,S/ 572.51,0,disponible,Disponible,23,$1798,75.41,0,75.41
MD,Modena,,,X06 - 36.41 - 1 dorm - Interior,2306,1,307407.22,S/ 307.41,0,disponible,Disponible,23,$1816,40.09,0,40.09
NP,Torre Nápoles,NP-B,Torre B,,A2416,,174476.13,S/ 174.48,0,no disponible,No Disponible,24,$1407,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,A2415,,213454.33,S/ 213.45,0,no disponible,No Disponible,24,$1374,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,A2412,,290548.57,S/ 290.55,0,no disponible,No Disponible,24,$1349,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A2411,,307072.13,S/ 307.07,0,no disponible,No Disponible,24,$1349,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,A2414,,329109.08,S/ 329.11,0,no disponible,No Disponible,24,$1357,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A2413,,331005.64,S/ 331.01,0,no disponible,No Disponible,24,$1357,59.34,0,59.34
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A2401,2,335147.35,S/ 335.15,0,disponible,Disponible,24,$1429,57.04,0,57.04
NP,Torre Nápoles,NP-A,Torre A,AX02 - 55.48 - 2 dorm - Exterior,A2402,2,327886.86,S/ 327.89,292098.19,vendido,Separado/Vendido,24,$1423,55.48,0,55.48
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A2403,1,245377.1,S/ 245.38,0,disponible,Disponible,24,$1488,40.12,0,40.12
NP,Torre Nápoles,NP-A,Torre A,AX04 - 66.68 - 3 dorm - Interna,A2404,3,374633.34,S/ 374.63,0,disponible,Disponible,24,$1391,65.49,0,65.49
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A2405,3,376497.5,S/ 376.50,0,disponible,Disponible,24,$1392,65.81,0,65.81
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A2406,3,388188.22,S/ 388.19,349369.4,vendido,Separado/Vendido,24,$1375,68.65,0,68.65
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A2407,2,318454.42,S/ 318.45,0,disponible,Disponible,24,$1358,57.06,0,57.06
